,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
128310,white pine,21,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,BX09,40.81775288,-73.85114244
128727,white pine,29,0,Alive,Good,RootOtherTrunkOther,RootOtherTrunkOther,No,No,Yes,QN23,40.79180871,-73.84353045
128837,white pine,26,0,Alive,Fair,StonesTrunkOther,StonesTrunkOther,Yes,No,No,QN45,40.77203917,-73.74269131
130269,pine,3,0,Alive,Good,None,None,No,No,No,QN51,40.76861957,-73.8144321
131248,pine,4,0,Alive,Good,None,None,No,No,No,QN49,40.7893668,-73.81778244
131680,pine,11,0,Alive,Fair,None,None,No,No,No,QN45,40.75327873,-73.73774916
132003,black pine,3,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76954553,-73.84366738
134684,white pine,18,0,Alive,Good,None,None,No,No,No,BX52,40.82070707,-73.80684456
135274,Scots pine,3,0,Alive,Good,None,None,No,No,No,MN12,40.7828882,-73.97971405
137476,red pine,9,0,Alive,Good,None,None,No,No,No,QN72,40.76908633,-73.88852269
137687,pine,6,0,Alive,Good,None,None,No,No,No,QN66,40.6832849,-73.74919804
137730,white pine,26,0,Alive,Good,None,None,No,No,No,QN07,40.70943897,-73.76187433
137826,pine,3,0,Alive,Good,None,None,No,No,No,QN49,40.79915421,-73.82117336
138051,pine,8,0,Alive,Good,None,None,No,No,No,QN55,40.66701144,-73.80636534
138081,white pine,2,0,Alive,Good,None,None,No,No,No,SI54,40.53338136,-74.15255625
138364,white pine,22,0,Alive,Fair,TrunkOther,TrunkOther,No,No,No,QN45,40.77221484,-73.74185909
138866,pine,7,0,Alive,Good,None,None,No,No,No,QN48,40.7620668,-73.78659499
139535,pine,8,0,Alive,Fair,None,None,No,No,No,QN49,40.78955511,-73.81785513
140738,pine,4,0,Alive,Good,None,None,No,No,No,QN05,40.65801652,-73.74388333
142009,red pine,14,0,Alive,Good,StonesBranchLightsBranchOther,StonesBranchLightsBranchOther,Yes,No,No,QN49,40.7937361,-73.81785126
142409,pine,6,0,Alive,Good,None,None,No,No,No,QN55,40.66701455,-73.80644707
143712,pine,2,0,Alive,Good,None,None,No,No,No,QN10,40.5692545,-73.86435503
144418,white pine,13,0,Alive,Good,None,None,No,No,No,SI32,40.5471716,-74.19960912
144510,white pine,23,0,Alive,Good,None,None,No,No,No,SI32,40.53902783,-74.19829818
144646,red pine,2,0,Alive,Good,None,None,No,No,No,QN31,40.7234912,-73.91353768
144968,white pine,32,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN45,40.77144578,-73.74303989
146130,white pine,18,0,Alive,Good,StonesBranchLights,StonesBranchLights,Yes,No,No,QN56,40.67881661,-73.84121985
148489,white pine,8,0,Alive,Good,None,None,No,No,No,QN29,40.72929165,-73.88047701
151558,pine,6,0,Alive,Good,None,None,No,No,No,QN35,40.71343523,-73.80292161
152215,white pine,10,0,Alive,Fair,None,None,No,No,No,BK79,40.67751375,-73.90182531
153595,red pine,4,0,Alive,Good,None,None,No,No,No,BK82,40.66311346,-73.87776587
159988,white pine,10,0,Alive,Good,None,None,No,No,No,QN51,40.76809059,-73.80003875
160380,red pine,18,0,Alive,Good,None,None,No,No,No,QN42,40.75407863,-73.75119994
160640,pine,15,0,Alive,Good,None,None,No,No,No,QN66,40.67281936,-73.74843057
161225,white pine,19,0,Alive,Good,None,None,No,No,No,QN46,40.76749376,-73.7636864
162395,white pine,7,0,Alive,Good,None,None,No,No,No,QN06,40.71538599,-73.78345215
164944,pine,4,0,Alive,Good,None,None,No,No,No,SI24,40.57348398,-74.1380749
166225,pine,5,0,Alive,Good,None,None,No,No,No,QN48,40.76089788,-73.7861252
167403,red pine,13,0,Alive,Good,None,None,No,No,No,BK58,40.6280381,-73.94126198
167875,white pine,27,0,Alive,Good,None,None,No,No,No,SI24,40.57550979,-74.1350751
169866,white pine,7,0,Alive,Fair,BranchLights,BranchLights,No,No,No,SI24,40.60654714,-74.09913161
